parking_id,name,num_stops_1200m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_extended
61,"Location (35.0417, -85.3073)",218,27928,492,113,681,extended,1200,True,128.11009174311926,90.83,83.49,100,98.87,72.67,89.85,excellent,High Reliability,28
310,Unum,193,29167,596,207,676,extended,1200,True,151.12435233160622,80.42,87.19,100,97.93,88.04,89.75,excellent,High Reliability,29
268,"Location (35.0417, -85.2999)",208,27751,557,73,833,extended,1200,True,133.41826923076923,86.67,82.96,100,99.27,82.27,89.67,excellent,High Reliability,30
383,"Location (35.0446, -85.3130)",205,28414,498,63,702,extended,1200,True,138.60487804878048,85.42,84.94,100,99.37,73.56,89.1,excellent,High Reliability,31
367,"Location (35.0508, -85.3045)",190,28660,592,150,711,extended,1200,True,150.8421052631579,79.17,85.67,100,98.5,87.44,89.01,excellent,High Reliability,32
252,"Location (35.0477, -85.3121)",194,28498,537,134,653,extended,1200,True,146.89690721649484,80.83,85.19,100,98.66,79.32,88.5,excellent,High Reliability,33
406,"Location (35.0507, -85.3050)",188,28028,576,165,690,extended,1200,True,149.08510638297872,78.33,83.79,100,98.35,85.08,87.98,excellent,High Reliability,34
291,"Location (35.0427, -85.2985)",197,25911,563,70,848,extended,1200,True,131.5279187817259,82.08,77.46,100,99.3,83.16,86.97,excellent,High Reliability,35
451,"Location (35.0410, -85.3059)",204,26895,439,157,682,extended,1200,True,131.83823529411765,85.0,80.4,100,98.43,64.84,86.62,excellent,High Reliability,36
448,"Location (35.0480, -85.3132)",187,27162,514,230,691,extended,1200,True,145.25133689839572,77.92,81.2,100,97.7,75.92,86.09,excellent,High Reliability,37
425,"Location (35.0407, -85.3074)",201,26424,436,63,662,extended,1200,True,131.46268656716418,83.75,78.99,100,99.37,64.4,85.98,excellent,High Reliability,38
345,"Location (35.0503, -85.3088)",183,26949,530,73,619,extended,1200,True,147.2622950819672,76.25,80.56,100,99.27,78.29,85.95,excellent,High Reliability,39
290,"Location (35.0503, -85.3092)",183,26825,517,42,620,extended,1200,True,146.5846994535519,76.25,80.19,100,99.58,76.37,85.69,excellent,High Reliability,40
125,"Location (35.0516, -85.3070)",178,26285,545,71,674,extended,1200,True,147.6685393258427,74.17,78.58,100,99.29,80.5,85.06,excellent,High Reliability,41
283,"Location (35.0485, -85.3134)",180,26432,503,252,692,extended,1200,True,146.84444444444443,75.0,79.01,100,97.48,74.3,84.51,excellent,High Reliability,42
446,"Location (35.0412, -85.2989)",195,24274,505,41,851,extended,1200,True,124.48205128205129,81.25,72.56,100,99.59,74.59,84.48,excellent,High Reliability,43
298,"Location (35.0400, -85.3066)",194,25477,417,104,672,extended,1200,True,131.32474226804123,80.83,76.16,100,98.96,61.6,84.06,excellent,High Reliability,44
419,"Location (35.0493, -85.3135)",176,25812,493,252,709,extended,1200,True,146.6590909090909,73.33,77.16,100,97.48,72.82,83.39,excellent,High Reliability,45
422,"Location (35.0512, -85.3101)",173,25578,498,29,636,extended,1200,True,147.84971098265896,72.08,76.46,100,99.71,73.56,83.27,excellent,High Reliability,46
449,"Location (35.0507, -85.3113)",172,25354,497,44,646,extended,1200,True,147.40697674418604,71.67,75.79,100,99.56,73.41,82.93,excellent,High Reliability,47
222,32,174,23600,556,65,825,extended,1200,True,135.632183908046,72.5,70.55,100,99.35,82.13,82.4,excellent,High Reliability,48
267,"Location (35.0507, -85.3124)",168,25246,493,144,681,extended,1200,True,150.27380952380952,70.0,75.47,100,98.56,72.82,82.21,excellent,High Reliability,49
211,"Location (35.0503, -85.3132)",165,24932,478,225,697,extended,1200,True,151.1030303030303,68.75,74.53,100,97.75,70.61,81.27,excellent,High Reliability,50
