parking_id,name,num_stops_400m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_conservative
255,"Location (35.0490, -85.2944)",21,3328,108,60,206,conservative,400,True,158.47619047619048,34.43,29.06,100,99.4,56.84,57.92,excellent,High Reliability,42
224,"Location (35.0470, -85.2966)",24,3249,87,137,306,conservative,400,True,135.375,39.34,28.37,100,98.63,45.79,57.72,excellent,High Reliability,43
205,"Location (35.0463, -85.3041)",28,3005,58,58,256,conservative,400,True,107.32142857142857,45.9,26.24,100,99.42,30.53,57.31,excellent,High Reliability,44
403,"Location (35.0458, -85.3032)",28,3088,54,80,264,conservative,400,True,110.28571428571429,45.9,26.96,100,99.2,28.42,57.29,excellent,High Reliability,45
381,"Location (35.0495, -85.3031)",24,3021,88,62,285,conservative,400,True,125.875,39.34,26.38,100,99.38,46.32,57.29,excellent,High Reliability,46
433,"Location (35.0353, -85.3087)",30,2927,46,86,266,conservative,400,True,97.56666666666666,49.18,25.56,100,99.14,24.21,57.25,excellent,High Reliability,47
108,"Location (35.0480, -85.2928)",20,3183,107,76,218,conservative,400,True,159.15,32.79,27.79,100,99.24,56.32,57.05,excellent,High Reliability,48
363,"Location (35.0497, -85.3039)",23,3047,89,113,296,conservative,400,True,132.47826086956522,37.7,26.6,100,98.87,46.84,56.92,excellent,High Reliability,49
331,"Location (35.0399, -85.3122)",26,3260,51,181,308,conservative,400,True,125.38461538461539,42.62,28.46,100,98.19,26.84,56.61,excellent,High Reliability,50
406,"Location (35.0507, -85.3050)",21,2524,108,165,306,conservative,400,True,120.19047619047619,34.43,22.04,100,98.35,56.84,55.65,excellent,High Reliability,51
372,"Location (35.0364, -85.3057)",25,2942,46,95,244,conservative,400,True,117.68,40.98,25.69,100,99.05,24.21,55.23,excellent,High Reliability,52
284,33,21,2277,100,63,251,conservative,400,True,108.42857142857143,34.43,19.88,100,99.37,52.63,54.74,excellent,High Reliability,53
113,"Location (35.0468, -85.3023)",22,3135,41,58,245,conservative,400,True,142.5,36.07,27.37,100,99.42,21.58,54.3,excellent,High Reliability,54
310,Unum,21,2483,82,207,310,conservative,400,True,118.23809523809524,34.43,21.68,100,97.93,43.16,54.12,excellent,High Reliability,55
456,"Location (35.0488, -85.3039)",22,2647,59,78,279,conservative,400,True,120.31818181818181,36.07,23.11,100,99.22,31.05,53.94,excellent,High Reliability,56
435,"Location (35.0490, -85.3042)",22,2476,58,106,287,conservative,400,True,112.54545454545455,36.07,21.62,100,98.94,30.53,53.4,excellent,High Reliability,57
431,48,22,2874,33,49,278,conservative,400,True,130.63636363636363,36.07,25.09,100,99.51,17.37,53.21,excellent,High Reliability,58
382,"Location (35.0484, -85.3041)",21,2612,53,87,268,conservative,400,True,124.38095238095238,34.43,22.81,100,99.13,27.89,53.11,excellent,High Reliability,59
367,"Location (35.0508, -85.3045)",18,2187,91,150,281,conservative,400,True,121.5,29.51,19.1,100,98.5,47.89,52.67,excellent,High Reliability,60
352,"Location (35.0362, -85.3051)",22,2385,37,92,245,conservative,400,True,108.4090909090909,36.07,20.82,100,99.08,19.47,52.07,excellent,High Reliability,61
222,32,18,1980,73,65,217,conservative,400,True,110.0,29.51,17.29,100,99.35,38.42,51.31,excellent,High Reliability,62
321,"Location (35.0476, -85.3019)",18,2657,39,91,229,conservative,400,True,147.61111111111111,29.51,23.2,100,99.09,20.53,51.25,excellent,High Reliability,63
457,"Location (35.0345, -85.3072)",22,2181,29,87,245,conservative,400,True,99.13636363636364,36.07,19.04,100,99.13,15.26,51.13,excellent,High Reliability,64
254,"Location (35.0401, -85.2715)",26,1030,36,78,230,conservative,400,True,39.61538461538461,42.62,8.99,100,99.22,18.95,50.13,excellent,High Reliability,65
197,"Location (35.0457, -85.2877)",12,2402,72,89,213,conservative,400,True,200.16666666666666,19.67,20.97,100,99.11,37.89,49.87,excellent,High Reliability,66
149,"Location (35.0346, -85.2698)",22,1438,24,71,259,conservative,400,True,65.36363636363636,36.07,12.56,100,99.29,12.63,48.94,excellent,High Reliability,67
291,"Location (35.0427, -85.2985)",20,1748,23,70,276,conservative,400,True,87.4,32.79,15.26,100,99.3,12.11,48.88,excellent,High Reliability,68
368,"Location (35.0351, -85.3120)",21,1459,28,58,252,conservative,400,True,69.47619047619048,34.43,12.74,100,99.42,14.74,48.81,excellent,High Reliability,69
404,"Location (35.0420, -85.3024)",21,1333,29,38,274,conservative,400,True,63.476190476190474,34.43,11.64,100,99.62,15.26,48.57,excellent,High Reliability,70
165,"Location (35.0439, -85.2878)",12,2028,60,100,265,conservative,400,True,169.0,19.67,17.71,100,99.0,31.58,48.24,excellent,High Reliability,71
341,"Location (35.0373, -85.3118)",20,1387,28,55,214,conservative,400,True,69.35,32.79,12.11,100,99.45,14.74,48.22,excellent,High Reliability,72
377,"Location (35.0523, -85.2978)",14,1221,77,143,282,conservative,400,True,87.21428571428571,22.95,10.66,100,98.57,40.53,47.77,excellent,High Reliability,73
239,"Location (35.0361, -85.2689)",22,1081,22,183,290,conservative,400,True,49.13636363636363,36.07,9.44,100,98.17,11.58,47.73,excellent,High Reliability,74
351,"Location (35.0441, -85.2791)",15,1051,70,47,164,conservative,400,True,70.06666666666666,24.59,9.18,100,99.53,36.84,47.51,excellent,High Reliability,75
317,"Location (35.0377, -85.3131)",19,1265,25,77,239,conservative,400,True,66.57894736842105,31.15,11.05,100,99.23,13.16,47.3,excellent,High Reliability,76
175,"Location (35.0322, -85.2740)",19,1320,21,64,236,conservative,400,True,69.47368421052632,31.15,11.53,100,99.36,11.05,47.25,excellent,High Reliability,77
