parking_id,name,num_stops_800m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_moderate
309,"Location (35.0601, -85.3027)",21,1792,46,158,526,moderate,800,True,85.33333333333333,13.21,7.45,100,98.42,9.62,41.26,excellent,High Reliability,145
420,"Location (35.0127, -85.2288)",20,2069,20,48,412,moderate,800,True,103.45,12.58,8.6,100,99.52,4.18,41.07,excellent,High Reliability,146
445,"Location (35.0103, -85.2197)",20,2069,20,61,400,moderate,800,True,103.45,12.58,8.6,100,99.39,4.18,41.05,excellent,High Reliability,147
378,"Location (35.0167, -85.2357)",20,2070,20,72,423,moderate,800,True,103.5,12.58,8.61,100,99.28,4.18,41.04,excellent,High Reliability,148
315,"Location (35.0109, -85.2239)",20,2069,20,95,399,moderate,800,True,103.45,12.58,8.6,100,99.05,4.18,41.0,excellent,High Reliability,149
41,"Location (35.0119, -85.2118)",21,2101,21,270,485,moderate,800,True,100.04761904761905,13.21,8.73,100,97.3,4.39,40.96,excellent,High Reliability,150
67,"Location (35.0378, -85.2588)",28,988,28,215,506,moderate,800,True,35.285714285714285,17.61,4.11,100,97.85,5.86,40.9,excellent,High Reliability,151
408,"Location (35.0106, -85.2120)",20,1998,20,154,439,moderate,800,True,99.9,12.58,8.31,100,98.46,4.18,40.82,excellent,High Reliability,152
142,"Location (35.0196, -85.3137)",23,1517,23,158,573,moderate,800,True,65.95652173913044,14.47,6.31,100,98.42,4.81,40.75,excellent,High Reliability,153
158,"Location (35.0185, -85.2388)",19,1967,19,96,400,moderate,800,True,103.52631578947368,11.95,8.18,100,99.04,3.97,40.69,excellent,High Reliability,154
59,"Location (35.0243, -85.2452)",19,1922,19,77,424,moderate,800,True,101.15789473684211,11.95,7.99,100,99.23,3.97,40.67,excellent,High Reliability,155
36,"Location (35.0142, -85.2121)",19,1895,19,133,544,moderate,800,True,99.73684210526316,11.95,7.88,100,98.67,3.97,40.55,excellent,High Reliability,156
5,"Location (34.9952, -85.3113)",22,1650,22,309,568,moderate,800,True,75.0,13.84,6.86,100,96.91,4.6,40.51,excellent,High Reliability,157
245,"Location (35.0194, -85.2396)",18,1864,18,51,370,moderate,800,True,103.55555555555556,11.32,7.75,100,99.49,3.77,40.46,excellent,High Reliability,158
38,"Location (35.0084, -85.2163)",19,1966,19,261,448,moderate,800,True,103.47368421052632,11.95,8.17,100,97.39,3.97,40.45,excellent,High Reliability,159
145,"Location (35.0679, -85.3144)",24,1027,25,82,438,moderate,800,True,42.791666666666664,15.09,4.27,100,99.18,5.23,40.45,excellent,High Reliability,160
261,"Location (35.0224, -85.2433)",18,1818,18,57,368,moderate,800,True,101.0,11.32,7.56,100,99.43,3.77,40.39,excellent,High Reliability,161
227,"Location (34.9871, -85.2876)",21,1230,27,82,351,moderate,800,True,58.57142857142857,13.21,5.11,100,99.18,5.65,40.28,excellent,High Reliability,162
226,"Location (35.0600, -85.3011)",20,1536,28,266,570,moderate,800,True,76.8,12.58,6.39,100,97.34,5.86,40.25,excellent,High Reliability,163
214,"Location (35.0229, -85.2482)",18,1818,18,217,476,moderate,800,True,101.0,11.32,7.56,100,97.83,3.77,40.15,excellent,High Reliability,164
28,"Location (35.0404, -85.3213)",20,1270,20,144,551,moderate,800,True,63.5,12.58,5.28,100,98.56,4.18,39.93,excellent,High Reliability,165
213,"Location (35.0624, -85.2982)",18,1350,23,87,492,moderate,800,True,75.0,11.32,5.61,100,99.13,4.81,39.86,excellent,High Reliability,166
231,"Location (35.0061, -85.2141)",17,1760,17,262,523,moderate,800,True,103.52941176470588,10.69,7.32,100,97.38,3.56,39.83,excellent,High Reliability,167
336,"Location (35.0452, -85.1613)",16,1653,16,84,396,moderate,800,True,103.3125,10.06,6.87,100,99.16,3.35,39.79,excellent,High Reliability,168
277,"Location (35.0149, -85.2092)",16,1584,16,37,497,moderate,800,True,99.0,10.06,6.59,100,99.63,3.35,39.77,excellent,High Reliability,169
85,"Location (35.1065, -85.2718)",19,1140,19,47,463,moderate,800,True,60.0,11.95,4.74,100,99.53,3.97,39.74,excellent,High Reliability,170
439,"Location (35.0686, -85.2890)",18,1080,18,44,390,moderate,800,True,60.0,11.32,4.49,100,99.56,3.77,39.49,excellent,High Reliability,171
414,"Location (35.0455, -85.1624)",15,1551,15,88,375,moderate,800,True,103.4,9.43,6.45,100,99.12,3.14,39.47,excellent,High Reliability,172
436,"Location (35.0614, -85.2981)",17,1290,22,186,532,moderate,800,True,75.88235294117646,10.69,5.36,100,98.14,4.6,39.46,excellent,High Reliability,173
217,"Location (35.0152, -85.2208)",17,1758,17,509,588,moderate,800,True,103.41176470588235,10.69,7.31,100,94.91,3.56,39.46,excellent,High Reliability,174
399,"Location (35.0690, -85.2886)",18,1080,18,68,400,moderate,800,True,60.0,11.32,4.49,100,99.32,3.77,39.45,excellent,High Reliability,175
7,"Location (35.0098, -85.2057)",15,1480,15,158,570,moderate,800,True,98.66666666666667,9.43,6.15,100,98.42,3.14,39.28,excellent,High Reliability,176
349,"Location (35.1020, -85.2747)",17,1020,17,30,330,moderate,800,True,60.0,10.69,4.24,100,99.7,3.56,39.26,excellent,High Reliability,177
127,"Location (35.0068, -85.2108)",14,1449,14,46,389,moderate,800,True,103.5,8.81,6.02,100,99.54,2.93,39.23,excellent,High Reliability,178
97,"Location (35.0210, -85.2908)",21,378,21,93,412,moderate,800,True,18.0,13.21,1.57,100,99.07,4.39,39.07,excellent,High Reliability,179
374,"Location (35.1132, -85.2641)",16,960,16,59,450,moderate,800,True,60.0,10.06,3.99,100,99.41,3.35,38.96,excellent,High Reliability,180
232,"Location (35.0205, -85.2881)",20,360,20,63,414,moderate,800,True,18.0,12.58,1.5,100,99.37,4.18,38.92,excellent,High Reliability,181
401,"Location (35.1014, -85.2741)",16,960,16,105,342,moderate,800,True,60.0,10.06,3.99,100,98.95,3.35,38.89,excellent,High Reliability,182
307,"Location (35.0469, -85.3216)",16,965,16,119,400,moderate,800,True,60.3125,10.06,4.01,100,98.81,3.35,38.88,excellent,High Reliability,183
262,"Location (35.0388, -85.1575)",13,1448,13,187,546,moderate,800,True,111.38461538461539,8.18,6.02,100,98.13,2.72,38.84,excellent,High Reliability,184
269,"Location (35.0245, -85.3113)",16,992,16,218,580,moderate,800,True,62.0,10.06,4.12,100,97.82,3.35,38.76,excellent,High Reliability,185
96,"Location (35.0152, -85.2073)",13,1274,13,119,447,moderate,800,True,98.0,8.18,5.3,100,98.81,2.72,38.73,excellent,High Reliability,186
31,"Location (35.0462, -85.3227)",16,965,16,244,454,moderate,800,True,60.3125,10.06,4.01,100,97.56,3.35,38.69,excellent,High Reliability,187
244,"Location (35.1181, -85.2505)",15,900,15,90,442,moderate,800,True,60.0,9.43,3.74,100,99.1,3.14,38.66,excellent,High Reliability,188
421,"Location (35.0266, -85.2538)",12,1196,12,66,377,moderate,800,True,99.66666666666667,7.55,4.97,100,99.34,2.51,38.53,excellent,High Reliability,189
392,"Location (35.0484, -85.3204)",14,839,14,43,394,moderate,800,True,59.92857142857143,8.81,3.49,100,99.57,2.93,38.48,excellent,High Reliability,190
24,"Location (35.0395, -85.1549)",11,1242,11,78,504,moderate,800,True,112.9090909090909,6.92,5.16,100,99.22,2.3,38.39,excellent,High Reliability,191
179,"Location (35.0484, -85.3213)",14,839,14,113,427,moderate,800,True,59.92857142857143,8.81,3.49,100,98.87,2.93,38.37,excellent,High Reliability,192
285,"Location (35.0251, -85.3177)",14,764,14,60,391,moderate,800,True,54.57142857142857,8.81,3.18,100,99.4,2.93,38.36,excellent,High Reliability,193
250,"Location (35.0055, -85.2228)",13,1345,13,542,658,moderate,800,True,103.46153846153847,8.18,5.59,100,94.58,2.72,38.18,excellent,High Reliability,194
400,"Location (35.0440, -85.1566)",11,1136,11,141,402,moderate,800,True,103.27272727272727,6.92,4.72,100,98.59,2.3,38.17,excellent,High Reliability,195
302,"Location (35.0072, -85.2079)",11,1138,11,157,395,moderate,800,True,103.45454545454545,6.92,4.73,100,98.43,2.3,38.14,excellent,High Reliability,196
20,Hixson Plaza,13,780,13,113,376,moderate,800,True,60.0,8.18,3.24,100,98.87,2.72,38.12,excellent,High Reliability,197
