name,Latitude,Longitude,capacity,type,parking_id,capacity_estimated,processing_date,data_source,cluster_id,pop_N,pop_NE,pop_E,pop_SE,pop_S,pop_SW,pop_W,pop_NW,total_pop_served,dominant_direction,uniqueness_score,explanation
VWGoA,35.075345270609965,-85.13146269874446,1192,surface lot,11,False,2026-02-20T14:48:59.464672,OpenStreetMap,4,9413.0,4849.0,7939.0,14913.0,16302.0,14346.0,9467.0,4849.0,82078.0,S,70.0,Serves different direction than overlapping sites
"Location (35.0266, -85.1941)",35.0266450795846,-85.19414591923429,1185,large surface lot,12,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,10270.0,16244.0,16820.0,22416.0,16608.0,20394.0,20921.0,12684.0,136357.0,SE,100.0,Isolated site (no nearby competitors)
"Location (35.1397, -85.2457)",35.13967979911715,-85.24569673155412,1164,surface lot,13,False,2026-02-20T14:48:59.464672,OpenStreetMap,6,15085.0,15820.0,12990.0,6567.0,7506.0,17736.0,18760.0,11378.0,105842.0,W,70.0,Serves different direction than overlapping sites
"Location (35.1466, -85.2510)",35.14662956838624,-85.25096469412644,1085,large surface lot,14,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,12961.0,15828.0,17742.0,13494.0,15518.0,22158.0,11903.0,10090.0,119694.0,SW,100.0,Isolated site (no nearby competitors)
"Location (35.1343, -85.2443)",35.13434455270474,-85.24429688636782,999,large surface lot,15,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,12420.0,13822.0,11883.0,8485.0,9664.0,18302.0,18336.0,16016.0,108928.0,W,40.57779378397397,High overlap (59.4%) with same-direction sites
"Location (35.1371, -85.2424)",35.13714033796049,-85.24244777828456,985,surface lot,16,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,12420.0,17821.0,14298.0,7822.0,8814.0,16477.0,18015.0,14605.0,110272.0,W,45.501817520253084,High overlap (54.5%) with same-direction sites
"Location (35.0321, -85.1578)",35.03207618250096,-85.15775019407695,913,surface lot,17,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,11609.0,14542.0,18793.0,17745.0,18196.0,10813.0,13050.0,7479.0,112227.0,E,70.0,Serves different direction than overlapping sites
"Location (35.0379, -85.3148)",35.03793381078941,-85.31481227338125,881,large surface lot,18,False,2026-02-20T14:48:59.464672,OpenStreetMap,8,18593.0,22307.0,20320.0,17795.0,10762.0,8701.0,8394.0,9180.0,116052.0,NE,38.80635123635259,High overlap (61.2%) with same-direction sites
Long Term Lot 2,35.03934186922786,-85.19674432279704,874,surface lot,19,False,2026-02-20T14:48:59.464672,OpenStreetMap,9,12210.0,10581.0,16748.0,16037.0,12526.0,18099.0,18348.0,9537.0,114086.0,W,70.0,Serves different direction than overlapping sites
Hixson Plaza,35.114302746112216,-85.2621403931939,855,surface lot,20,False,2026-02-20T14:48:59.464672,OpenStreetMap,10,20611.0,15798.0,10790.0,5713.0,8837.0,16757.0,16641.0,13325.0,108472.0,N,28.98407709958889,High overlap (71.0%) with same-direction sites
"Location (35.0295, -85.3069)",35.02945200860728,-85.30689083332157,853,large surface lot,21,False,2026-02-20T14:48:59.464672,OpenStreetMap,11,26036.0,20823.0,25335.0,20474.0,11553.0,10987.0,9303.0,10721.0,135232.0,N,33.282947546327414,High overlap (66.7%) with same-direction sites
"Location (35.0565, -85.1899)",35.05646961613341,-85.18994128273707,852,large surface lot,22,False,2026-02-20T14:48:59.464672,OpenStreetMap,0,13040.0,6553.0,11757.0,13719.0,16856.0,14034.0,14445.0,9693.0,100097.0,S,33.77580581676541,High overlap (66.2%) with same-direction sites
"Location (35.1182, -85.3150)",35.11819576734028,-85.31501522301843,847,large surface lot,23,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,13474.0,12036.0,19694.0,18238.0,15247.0,7890.0,12769.0,14011.0,113359.0,E,100.0,Isolated site (no nearby competitors)
"Location (35.0395, -85.1549)",35.03948355653957,-85.15490612975758,809,surface lot,24,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,12060.0,12515.0,21703.0,16435.0,18763.0,13429.0,9431.0,13455.0,117791.0,E,40.914078617525085,High overlap (59.1%) with same-direction sites
"Location (35.0486, -85.3163)",35.04860788929704,-85.31630800719167,794,surface lot,25,False,2026-02-20T14:48:59.464672,OpenStreetMap,8,17059.0,17663.0,21308.0,21306.0,14196.0,7951.0,7480.0,5583.0,112546.0,E,38.571450996706346,High overlap (61.4%) with same-direction sites
"Location (35.1160, -85.2772)",35.116046549868955,-85.2771880165621,786,surface lot,26,False,2026-02-20T14:48:59.464672,OpenStreetMap,12,16537.0,19649.0,12724.0,6701.0,13657.0,15074.0,13996.0,16497.0,114835.0,NE,70.0,Serves different direction than overlapping sites
Trailer Yard,35.083147903644665,-85.1318087728323,769,surface lot,27,False,2026-02-20T14:48:59.464672,OpenStreetMap,13,10508.0,8360.0,4667.0,10668.0,12735.0,8587.0,9836.0,10818.0,76179.0,S,42.55033632422529,High overlap (57.4%) with same-direction sites
"Location (35.0404, -85.3213)",35.04044189504148,-85.321258873502,752,large surface lot,28,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,16425.0,22211.0,23808.0,19121.0,12253.0,7165.0,6433.0,4718.0,112134.0,E,100.0,Isolated site (no nearby competitors)
"Location (35.0365, -85.1552)",35.03654980214031,-85.15516875766018,664,surface lot,29,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,10869.0,14363.0,21703.0,16435.0,15990.0,13429.0,9431.0,12224.0,114444.0,E,41.36912425110527,High overlap (58.6%) with same-direction sites
"Location (35.0714, -85.1375)",35.07137818365904,-85.13747625180558,657,large surface lot,30,False,2026-02-20T14:48:59.464672,OpenStreetMap,4,8793.0,4849.0,11387.0,15730.0,14082.0,11753.0,9507.0,9316.0,85417.0,SE,40.754310297978144,High overlap (59.2%) with same-direction sites
"Location (35.0462, -85.3227)",35.04620317067831,-85.32274925411761,645,large surface lot,31,False,2026-02-20T14:48:59.464672,OpenStreetMap,8,14040.0,19516.0,24216.0,19244.0,13873.0,6966.0,4813.0,4718.0,107386.0,E,32.707196051932954,High overlap (67.3%) with same-direction sites
"Location (35.1319, -85.2351)",35.131905746569025,-85.23508416267263,617,large surface lot,32,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,13204.0,11679.0,11567.0,8041.0,7919.0,12842.0,18211.0,13506.0,96969.0,W,32.96880204369443,High overlap (67.0%) with same-direction sites
"Location (35.0589, -85.1913)",35.05893709378616,-85.19126630728287,617,large surface lot,33,False,2026-02-20T14:48:59.464672,OpenStreetMap,0,13438.0,10211.0,11757.0,14875.0,16515.0,14695.0,14829.0,9693.0,106013.0,S,32.86178092860925,High overlap (67.1%) with same-direction sites
"Location (35.1296, -85.2415)",35.12961496104922,-85.2414882245618,605,large surface lot,34,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,10709.0,10331.0,10472.0,8704.0,6611.0,16804.0,19217.0,14169.0,97017.0,W,40.606802563397146,High overlap (59.4%) with same-direction sites
"Location (35.1314, -85.2414)",35.13139592906795,-85.24137288051871,602,large surface lot,35,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,11729.0,12976.0,10472.0,7074.0,7919.0,14646.0,16910.0,16171.0,97897.0,W,35.828155731960564,High overlap (64.2%) with same-direction sites
"Location (35.0142, -85.2121)",35.01418346032025,-85.21209875654519,587,large surface lot,36,False,2026-02-20T14:48:59.464672,OpenStreetMap,3,9945.0,12339.0,16475.0,13658.0,11019.0,25647.0,21216.0,18947.0,129246.0,SW,39.33220700554644,High overlap (60.7%) with same-direction sites
"Location (35.1008, -85.2344)",35.100841760155866,-85.23435452124394,577,large surface lot,37,False,2026-02-20T14:48:59.464672,OpenStreetMap,14,18416.0,8782.0,12385.0,14474.0,10744.0,7724.0,11844.0,13793.0,98162.0,N,45.79132821944266,High overlap (54.2%) with same-direction sites
"Location (35.0084, -85.2163)",35.008411879387964,-85.21633805028686,564,large surface lot,38,False,2026-02-20T14:48:59.464672,OpenStreetMap,3,14294.0,13870.0,15107.0,13599.0,12447.0,25415.0,18956.0,21703.0,135391.0,SW,38.876257718244226,High overlap (61.1%) with same-direction sites
"Location (35.1830, -85.2430)",35.18295931659633,-85.24300456915017,563,large surface lot,39,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,6873.0,11720.0,11985.0,13014.0,16152.0,14528.0,11510.0,6133.0,91915.0,S,100.0,Isolated site (no nearby competitors)
Brainerd Hills Baptist Church,35.019002508989445,-85.18597729950287,550,large surface lot,40,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,8557.0,17647.0,20042.0,20079.0,15206.0,14526.0,19423.0,13763.0,129243.0,SE,100.0,Isolated site (no nearby competitors)
"Location (35.0119, -85.2118)",35.01188079539272,-85.2118326042052,549,surface lot,41,False,2026-02-20T14:48:59.464672,OpenStreetMap,3,11511.0,12096.0,15655.0,13294.0,10199.0,24088.0,19730.0,22149.0,128722.0,SW,33.255424526267504,High overlap (66.7%) with same-direction sites
"Location (35.0338, -85.1606)",35.03382534138487,-85.16058517166555,549,surface lot,42,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,11599.0,14684.0,16125.0,22086.0,18196.0,13429.0,11654.0,9459.0,117232.0,SE,38.341243829839215,High overlap (61.7%) with same-direction sites
"Location (35.0740, -85.1042)",35.07402760578236,-85.10418341429849,548,large surface lot,43,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,8034.0,12393.0,8148.0,12260.0,18114.0,15735.0,9128.0,3185.0,86997.0,S,100.0,Isolated site (no nearby competitors)
"Location (35.0956, -85.0595)",35.09556651265185,-85.05946607381921,542,large surface lot,44,False,2026-02-20T14:48:59.464672,OpenStreetMap,15,10075.0,8401.0,8292.0,11363.0,18101.0,15146.0,6963.0,10719.0,89060.0,S,39.45076183063474,High overlap (60.5%) with same-direction sites
"Location (35.0924, -85.3103)",35.092448713271054,-85.310317977814,540,surface lot,45,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,18705.0,16846.0,12424.0,15383.0,19486.0,8682.0,6379.0,13673.0,111578.0,S,100.0,Isolated site (no nearby competitors)
"Location (35.1015, -85.2385)",35.10148800162054,-85.2384686032936,534,large surface lot,46,False,2026-02-20T14:48:59.464672,OpenStreetMap,14,19543.0,9799.0,11290.0,14474.0,10744.0,6856.0,12536.0,14693.0,99935.0,N,40.86870712933421,High overlap (59.1%) with same-direction sites
"Location (35.1304, -85.2379)",35.13038985365189,-85.23785055932902,534,large surface lot,47,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,12504.0,8920.0,13197.0,8041.0,7919.0,12842.0,19074.0,13506.0,96003.0,W,36.34508781333524,High overlap (63.7%) with same-direction sites
"Location (35.0574, -85.2803)",35.05737840983384,-85.28033866520914,531,surface lot,48,False,2026-02-20T14:48:59.464672,OpenStreetMap,16,12155.0,5815.0,15770.0,22628.0,21235.0,26346.0,17156.0,20526.0,141631.0,SW,37.33053788440388,High overlap (62.7%) with same-direction sites
"Location (35.1323, -85.2382)",35.13232165113325,-85.23820544554705,516,large surface lot,49,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,11409.0,13090.0,10472.0,8041.0,7919.0,12842.0,16910.0,13506.0,94189.0,W,32.56134666185182,High overlap (67.4%) with same-direction sites
"Location (35.0094, -85.3878)",35.009369561888214,-85.38779924020007,515,large surface lot,50,False,2026-02-20T14:48:59.464672,OpenStreetMap,1,4872.0,5500.0,4492.0,9217.0,5168.0,5182.0,3091.0,3526.0,41048.0,SE,37.46593454060919,High overlap (62.5%) with same-direction sites
Publix Parking Lot,35.0897466264246,-85.06481290779273,502,large surface lot,51,False,2026-02-20T14:48:59.464672,OpenStreetMap,15,5514.0,8401.0,6437.0,9508.0,18929.0,15146.0,4978.0,10719.0,79632.0,S,26.317754509054247,High overlap (73.7%) with same-direction sites
"Location (35.0554, -85.3148)",35.0553776026438,-85.31484925447826,500,surface lot,52,False,2026-02-20T14:48:59.464672,OpenStreetMap,8,18234.0,16966.0,13086.0,21602.0,19013.0,8097.0,8208.0,8959.0,114165.0,SE,38.9048043709724,High overlap (61.1%) with same-direction sites
"Location (35.0985, -85.2375)",35.09851750464435,-85.2374742422167,497,surface lot,53,False,2026-02-20T14:48:59.464672,OpenStreetMap,14,16898.0,9799.0,11290.0,12446.0,11885.0,6814.0,13542.0,13793.0,96467.0,N,41.9086303451615,High overlap (58.1%) with same-direction sites
"Location (35.0093, -85.2136)",35.009257326929195,-85.21361636866793,496,surface lot,54,False,2026-02-20T14:48:59.464672,OpenStreetMap,3,13494.0,12096.0,15107.0,13255.0,10199.0,24294.0,23294.0,25172.0,136911.0,NW,35.421575927402,High overlap (64.6%) with same-direction sites
"Location (35.0053, -85.1493)",35.00527638841926,-85.14928711220263,494,large surface lot,55,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,17369.0,20522.0,17247.0,15843.0,14401.0,16537.0,16381.0,20230.0,138530.0,NE,100.0,Isolated site (no nearby competitors)
"Location (35.0567, -85.1286)",35.05672164127609,-85.12857362403021,494,large surface lot,56,False,2026-02-20T14:48:59.464672,OpenStreetMap,17,6411.0,11647.0,10474.0,16229.0,19003.0,13661.0,11883.0,10984.0,100292.0,S,38.03291118612194,High overlap (62.0%) with same-direction sites
"Location (35.1355, -85.2454)",35.135481632207714,-85.24544501488374,487,large surface lot,57,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,12420.0,13667.0,11883.0,8485.0,7506.0,18463.0,21001.0,16016.0,109441.0,W,32.188638139959835,High overlap (67.8%) with same-direction sites
"Location (35.0353, -85.1609)",35.035286831593424,-85.16085040814873,482,surface lot,58,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,11599.0,14684.0,16125.0,19968.0,18196.0,13429.0,9431.0,9459.0,112891.0,SE,35.144288341475125,High overlap (64.9%) with same-direction sites
"Location (35.0243, -85.2452)",35.02433660889391,-85.24517328204072,476,surface lot,59,False,2026-02-20T14:48:59.464672,OpenStreetMap,18,18900.0,13873.0,13703.0,21092.0,24675.0,24879.0,21677.0,25559.0,164358.0,NW,38.1491325981801,High overlap (61.9%) with same-direction sites
"Location (35.0346, -85.2663)",35.034593734966535,-85.26628433594517,475,large surface lot,60,False,2026-02-20T14:48:59.464672,OpenStreetMap,19,13134.0,15760.0,18291.0,22997.0,22993.0,20540.0,22271.0,20722.0,156708.0,SE,36.9325201072873,High overlap (63.1%) with same-direction sites
"Location (35.0417, -85.3073)",35.0416857048395,-85.30727089277967,470,surface lot,61,False,2026-02-20T14:48:59.464672,OpenStreetMap,8,22530.0,17134.0,24521.0,22005.0,14211.0,12097.0,10460.0,7570.0,130528.0,E,34.51947106865051,High overlap (65.5%) with same-direction sites
"Location (35.1383, -85.2797)",35.13832981837285,-85.27971032334986,469,large surface lot,62,False,2026-02-20T14:48:59.464672,OpenStreetMap,20,8439.0,11965.0,20137.0,16514.0,14560.0,14766.0,15795.0,11250.0,113426.0,E,41.02307835685794,High overlap (59.0%) with same-direction sites
"Location (35.0501, -85.1270)",35.05007756916535,-85.12701820977914,466,large surface lot,63,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,8296.0,10898.0,14953.0,17615.0,17275.0,15692.0,14089.0,9466.0,108284.0,SE,100.0,Isolated site (no nearby competitors)
"Location (35.0302, -85.2171)",35.030150002940104,-85.21707060361618,465,large surface lot,64,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,9624.0,8203.0,16120.0,11930.0,16774.0,23382.0,24080.0,20995.0,131108.0,W,100.0,Isolated site (no nearby competitors)
"Location (35.0632, -85.3147)",35.06320704833905,-85.31472505386711,453,surface lot,65,False,2026-02-20T14:48:59.464672,OpenStreetMap,21,15787.0,16762.0,15484.0,21708.0,18861.0,9741.0,5647.0,6512.0,110502.0,SE,30.797023590092877,High overlap (69.2%) with same-direction sites
"Location (35.0081, -85.3889)",35.0081222694736,-85.38890835182633,448,large surface lot,66,False,2026-02-20T14:48:59.464672,OpenStreetMap,1,4872.0,6971.0,4492.0,9217.0,5168.0,5182.0,3091.0,3526.0,42519.0,SE,27.688807959380046,High overlap (72.3%) with same-direction sites
"Location (35.0378, -85.2588)",35.037770046413186,-85.2587833294076,446,large surface lot,67,False,2026-02-20T14:48:59.464672,OpenStreetMap,22,12038.0,13641.0,13544.0,22238.0,22044.0,21981.0,26255.0,17602.0,149343.0,W,70.0,Serves different direction than overlapping sites
"Location (35.0124, -85.1897)",35.012447108402725,-85.18969775773536,445,large surface lot,68,False,2026-02-20T14:48:59.464672,OpenStreetMap,23,13293.0,19044.0,21059.0,18438.0,13317.0,16266.0,20728.0,15328.0,137473.0,E,31.18586567818481,High overlap (68.8%) with same-direction sites
"Location (35.0857, -85.1316)",35.0857449094479,-85.13159572072541,435,large surface lot,69,False,2026-02-20T14:48:59.464672,OpenStreetMap,13,11458.0,8360.0,4667.0,9143.0,13112.0,8587.0,8520.0,10818.0,74665.0,S,31.23229180173681,High overlap (68.8%) with same-direction sites
"Location (35.1287, -85.2380)",35.1286859972292,-85.23798521647329,421,large surface lot,70,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,12504.0,11150.0,13197.0,8041.0,7919.0,12381.0,17663.0,14169.0,97024.0,W,38.27853271776666,High overlap (61.7%) with same-direction sites
"Location (35.0616, -85.1407)",35.06164572803556,-85.14068866904648,421,surface lot,71,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,2914.0,7043.0,11568.0,19888.0,17755.0,16067.0,12970.0,13040.0,101245.0,SE,100.0,Isolated site (no nearby competitors)
"Location (35.0985, -85.2411)",35.09845729676037,-85.24110856650961,420,large surface lot,72,False,2026-02-20T14:48:59.464672,OpenStreetMap,14,15590.0,9799.0,10099.0,12446.0,11958.0,8811.0,13542.0,14337.0,96582.0,N,38.30534409459311,High overlap (61.7%) with same-direction sites
"Location (35.0339, -85.2680)",35.03394636214075,-85.26804489797034,419,large surface lot,73,False,2026-02-20T14:48:59.464672,OpenStreetMap,19,14029.0,15760.0,18291.0,24192.0,21847.0,20540.0,20757.0,21584.0,157000.0,SE,32.16507751504258,High overlap (67.8%) with same-direction sites
"Location (35.0828, -85.0824)",35.082771590550486,-85.08236610413945,417,surface lot,74,False,2026-02-20T14:48:59.464672,OpenStreetMap,24,12574.0,8523.0,13433.0,15467.0,16006.0,15337.0,7043.0,8360.0,96743.0,S,31.330565429775735,High overlap (68.7%) with same-direction sites
"Location (35.0366, -85.1597)",35.036581030920665,-85.159740597144,416,surface lot,75,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,11599.0,12836.0,16125.0,17745.0,18196.0,13429.0,9431.0,11067.0,110428.0,S,36.222406259780314,High overlap (63.8%) with same-direction sites
"Location (35.0475, -85.1568)",35.04753054087454,-85.15675504761904,415,surface lot,76,False,2026-02-20T14:48:59.464672,OpenStreetMap,25,11000.0,11770.0,16384.0,12791.0,18560.0,15917.0,8902.0,13381.0,108705.0,S,36.888172537152165,High overlap (63.1%) with same-direction sites
"Location (35.0373, -85.3177)",35.03727279589607,-85.3176627031822,414,large surface lot,77,False,2026-02-20T14:48:59.464672,OpenStreetMap,8,18593.0,24196.0,21708.0,17795.0,11695.0,8701.0,8394.0,6679.0,117761.0,NE,41.704769127272236,High overlap (58.3%) with same-direction sites
"Location (35.0980, -85.3290)",35.097971599917855,-85.32898628823338,405,large surface lot,78,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,10679.0,17797.0,17225.0,20762.0,12923.0,2769.0,2211.0,10112.0,94478.0,SE,100.0,Isolated site (no nearby competitors)
"Location (35.0408, -85.2200)",35.040845361025106,-85.21996212200645,404,large surface lot,79,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,11406.0,13011.0,11781.0,14148.0,18828.0,21673.0,25067.0,15638.0,131552.0,W,100.0,Isolated site (no nearby competitors)
"Location (35.0309, -85.3631)",35.03090094405075,-85.36307598665276,399,large surface lot,80,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,3322.0,6259.0,11943.0,12282.0,6418.0,5067.0,3447.0,3322.0,52060.0,SE,100.0,Isolated site (no nearby competitors)
"Location (35.0743, -85.1868)",35.07431957672703,-85.18676139819767,391,large surface lot,81,False,2026-02-20T14:48:59.464672,OpenStreetMap,26,12793.0,11680.0,8276.0,15527.0,12937.0,12123.0,11191.0,9775.0,94302.0,SE,39.03768901639284,High overlap (61.0%) with same-direction sites
"Location (35.0981, -85.2447)",35.09808485959987,-85.24469747855704,390,surface lot,82,False,2026-02-20T14:48:59.464672,OpenStreetMap,14,16101.0,9799.0,11330.0,9211.0,11818.0,7067.0,14217.0,16100.0,95643.0,N,36.854846369367344,High overlap (63.1%) with same-direction sites
Ooltewah High School's Parking Lot #1,35.093087827540764,-85.0619701359579,390,large surface lot,83,False,2026-02-20T14:48:59.464672,OpenStreetMap,15,10075.0,8401.0,8292.0,9508.0,18101.0,15146.0,4978.0,10719.0,85220.0,S,36.52262478570418,High overlap (63.5%) with same-direction sites
"Location (35.0810, -85.2970)",35.08099829740266,-85.2970268912236,389,surface lot,84,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,20404.0,10758.0,9426.0,17840.0,23808.0,16139.0,13107.0,12581.0,124063.0,S,100.0,Isolated site (no nearby competitors)
"Location (35.1065, -85.2718)",35.1064619047646,-85.27179130548384,388,surface lot,85,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,17280.0,17540.0,5606.0,7472.0,9841.0,21703.0,18195.0,15755.0,113392.0,SW,100.0,Isolated site (no nearby competitors)
"Location (35.1268, -85.2384)",35.12682244388007,-85.23843687887275,379,large surface lot,86,False,2026-02-20T14:48:59.464672,OpenStreetMap,7,11668.0,11150.0,13197.0,8704.0,7919.0,12381.0,17663.0,13333.0,96015.0,W,40.76011621086907,High overlap (59.2%) with same-direction sites
"Location (35.0681, -85.1478)",35.068082884289595,-85.14781948400146,375,surface lot,87,False,2026-02-20T14:48:59.464672,OpenStreetMap,27,7383.0,2134.0,12221.0,18560.0,17807.0,14911.0,13046.0,11381.0,97443.0,SE,45.853381667929725,High overlap (54.1%) with same-direction sites
"Location (35.0865, -85.1334)",35.086515883300194,-85.13335368023908,371,large surface lot,88,False,2026-02-20T14:48:59.464672,OpenStreetMap,13,8627.0,8360.0,4667.0,9143.0,11587.0,6597.0,8520.0,10818.0,68319.0,S,36.5533260822489,High overlap (63.4%) with same-direction sites
"Location (35.0092, -85.3859)",35.00921737045542,-85.38587507209753,367,large surface lot,89,False,2026-02-20T14:48:59.464672,OpenStreetMap,1,4872.0,5500.0,5624.0,10103.0,5168.0,4200.0,3091.0,3526.0,42084.0,SE,38.307398838478726,High overlap (61.7%) with same-direction sites
Highland Plaza,35.138710454503,-85.24873675060144,364,large surface lot,90,False,2026-02-20T14:48:59.464672,OpenStreetMap,6,14754.0,9498.0,14813.0,7745.0,4145.0,19002.0,18653.0,13194.0,101804.0,SW,70.0,Serves different direction than overlapping sites
"Location (35.0241, -85.2913)",35.02412802488912,-85.29126523661547,356,large surface lot,91,False,2026-02-20T14:48:59.464672,OpenStreetMap,28,22847.0,20071.0,23219.0,22142.0,24014.0,11507.0,16268.0,16813.0,156881.0,S,70.0,Serves different direction than overlapping sites
"Location (35.0132, -85.1859)",35.01321778952834,-85.18592062374204,356,large surface lot,92,False,2026-02-20T14:48:59.464672,OpenStreetMap,23,11519.0,17668.0,21153.0,18158.0,13294.0,14321.0,17939.0,15759.0,129811.0,E,30.61275813550539,High overlap (69.4%) with same-direction sites
"Location (35.0978, -85.2685)",35.09784923205833,-85.26848627732961,353,surface lot,93,False,2026-02-20T14:48:59.464672,OpenStreetMap,-1,20061.0,10080.0,6658.0,12813.0,12726.0,15184.0,16396.0,17653.0,111571.0,N,100.0,Isolated site (no nearby competitors)
"Location (35.0958, -85.2230)",35.09576465577171,-85.22302818284257,351,surface lot,94,False,2026-02-20T14:48:59.464672,OpenStreetMap,29,9396.0,9416.0,10139.0,9821.0,8159.0,9667.0,8256.0,11003.0,75857.0,NW,40.358661842269015,High overlap (59.6%) with same-direction sites
"Location (35.0369, -85.1581)",35.036935665504565,-85.15810870204122,350,surface lot,95,False,2026-02-20T14:48:59.464672,OpenStreetMap,5,10869.0,13634.0,19538.0,17745.0,18196.0,13429.0,9431.0,11068.0,113910.0,E,36.80635513206475,High overlap (63.2%) with same-direction sites
"Location (35.0152, -85.2073)",35.0152194967613,-85.2073043382263,349,large surface lot,96,False,2026-02-20T14:48:59.464672,OpenStreetMap,3,11928.0,12592.0,19390.0,10973.0,12097.0,23401.0,25689.0,21089.0,137159.0,W,24.7617184930674,High overlap (75.2%) with same-direction sites
