cluster_id,cluster_size,sites_selected,sites_excluded,mean_overlap,selected_ids,excluded_ids
58,2,2,0,26.877095096250812,"[np.int64(271), np.int64(247)]",[]
59,2,2,0,22.84993872778378,"[np.int64(250), np.int64(362)]",[]
60,2,2,0,70.0,"[np.int64(370), np.int64(263)]",[]
61,2,2,0,70.0,"[np.int64(299), np.int64(450)]",[]
62,2,2,0,23.267219699458597,"[np.int64(376), np.int64(303)]",[]
63,2,2,0,14.68218957399079,"[np.int64(336), np.int64(414)]",[]
64,3,3,0,26.681176594119805,"[np.int64(342), np.int64(348), np.int64(396)]",[]
65,2,2,0,12.883610671804146,"[np.int64(349), np.int64(401)]",[]
66,2,2,0,70.0,"[np.int64(391), np.int64(413)]",[]
67,2,2,0,70.0,"[np.int64(398), np.int64(402)]",[]
68,2,2,0,8.375907707859497,"[np.int64(439), np.int64(399)]",[]
