name,Latitude,Longitude,capacity,type,parking_id,capacity_estimated,processing_date,data_source
"Location (35.0997, -85.2429)",35.09967379076254,-85.24286039494275,266,large surface lot,144,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0679, -85.3144)",35.06786003699469,-85.31443922688364,266,large surface lot,145,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0069, -85.3887)",35.006876511812145,-85.38869183619312,265,large surface lot,146,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1593, -85.1957)",35.15926142497324,-85.19573036465137,263,large surface lot,147,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1304, -85.2352)",35.13039485617173,-85.23524006979672,262,large surface lot,148,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0346, -85.2698)",35.03458260401585,-85.26977059979895,260,large surface lot,149,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1089, -85.2135)",35.10887121256355,-85.21353586561212,259,surface lot,150,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1293, -85.2475)",35.129272768041,-85.24745038554555,258,surface lot,151,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0228, -85.2752)",35.022757878059565,-85.27520907484525,257,large surface lot,152,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1194, -85.2907)",35.11937317223161,-85.29065525386771,256,large surface lot,153,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0090, -85.3291)",35.009029427525896,-85.3290534241312,256,surface lot,154,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0186, -85.1714)",35.018567768035695,-85.17143146695223,256,surface lot,155,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0327, -85.1841)",35.03273278940476,-85.18409398171862,256,surface lot,156,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0387, -85.3114)",35.03873544259497,-85.31143113298401,255,surface lot,157,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0185, -85.2388)",35.01854163340034,-85.23879863700941,255,large surface lot,158,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1072, -85.2956)",35.107166090607976,-85.29563237169648,255,large surface lot,159,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0471, -85.3177)",35.04709646826373,-85.31772455860713,253,large surface lot,160,False,2026-02-20T14:48:59.464672,OpenStreetMap
Cell Waiting Lot,35.03099291263438,-85.19572156535918,252,surface lot,161,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0554, -85.2832)",35.055441889899015,-85.28316760527449,251,surface lot,162,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0142, -85.1878)",35.0141508048146,-85.18781587552867,251,large surface lot,163,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0823, -85.0555)",35.08231798729073,-85.05550750873273,251,large surface lot,164,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0439, -85.2878)",35.04392026129822,-85.2877713931982,249,large surface lot,165,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1325, -85.2367)",35.132541279791326,-85.23665879475843,248,large surface lot,166,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0087, -85.3899)",35.008732168991386,-85.38989000860302,248,large surface lot,167,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1183, -85.2786)",35.11827828549984,-85.27856812559175,244,large surface lot,168,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0316, -85.3046)",35.03158188654797,-85.30462619208217,244,large surface lot,169,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1357, -85.2813)",35.13567439625437,-85.28125029696109,243,large surface lot,170,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0612, -85.3059)",35.061221973728976,-85.30594665898377,242,surface lot,171,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0599, -85.1340)",35.059929423239915,-85.13403447342169,242,large surface lot,172,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0098, -85.2182)",35.00982690309232,-85.21815400234249,240,large surface lot,173,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1454, -85.2251)",35.14535315528283,-85.22509162672762,238,surface lot,174,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0322, -85.2740)",35.03215089790346,-85.27396545209946,236,large surface lot,175,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0433, -85.2582)",35.04327533719261,-85.258247358529,235,large surface lot,176,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0603, -85.1866)",35.06031042412346,-85.18657048640227,234,large surface lot,177,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0213, -85.3238)",35.02134974820969,-85.32378911420327,234,large surface lot,178,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0484, -85.3213)",35.048362553937665,-85.32126683967726,232,surface lot,179,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0911, -85.1313)",35.0910822505826,-85.13126174265213,231,large surface lot,180,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1450, -85.2380)",35.14503041125064,-85.23801927686635,229,surface lot,181,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0730, -85.1843)",35.07298721300562,-85.18427199724914,229,large surface lot,182,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0733, -85.1997)",35.073304680178325,-85.1997231333027,229,large surface lot,183,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0620, -85.1926)",35.062012795021246,-85.1926222973768,227,large surface lot,184,False,2026-02-20T14:48:59.464672,OpenStreetMap
