zone_id,zone_employment,zone_area_km2,num_pr_sites,nearest_pr_distance_m,coverage_score,weighted_accessibility,has_coverage,coverage_score_raw,coverage_score_normalized,zone_population,is_underserved,service_level
130470303051,1507.0,7.218263361105871,0,9999.0,0.0,0.0,False,0.0,0.0,1874.0,False,No Service
130470303061,124.0,2.997090442079903,0,9999.0,0.0,0.0,False,0.0,0.0,1645.0,False,No Service
130470303062,51.0,1.8005344500611937,0,9999.0,0.0,0.0,False,0.0,0.0,617.0,False,No Service
130470303063,16.0,6.842978381473443,0,9999.0,0.0,0.0,False,0.0,0.0,3442.0,False,No Service
130470304021,291.0,4.417411169811613,0,9999.0,0.0,0.0,False,0.0,0.0,748.0,False,No Service
130470304022,805.0,4.516104223638093,13,3967.6052438711345,1.97986653771733,39.26097757766818,True,33.55696666370767,1.97986653771733,510.0,True,Underserved
130470304023,22.0,6.486677460212809,11,2899.172956257862,0.0,0.0,True,0.0,0.0,3060.0,False,No Service
130470304024,220.0,6.343466573310844,0,9999.0,0.0,0.0,False,0.0,0.0,1865.0,False,No Service
130470304031,259.0,24.353818687930577,0,9999.0,0.0,0.0,False,0.0,0.0,2177.0,False,No Service
130470304032,36.0,7.810103826703679,0,9999.0,0.0,0.0,False,0.0,0.0,2320.0,False,No Service
130470304033,11.0,17.164734241501588,0,9999.0,0.0,0.0,False,0.0,0.0,725.0,False,No Service
130470304041,1166.0,4.618370275500116,0,9999.0,0.0,0.0,False,0.0,0.0,576.0,False,No Service
130470304042,603.0,5.9568183987906504,0,9999.0,0.0,0.0,False,0.0,0.0,1830.0,False,No Service
130470305012,10.0,1.0995894363951582,15,3318.3807305318546,5.571519442073999,39.25857831933957,True,94.43227036880681,5.571519442073999,1245.0,True,Underserved
130470305021,283.0,2.2322721600768807,19,3071.5764197770022,6.587771579863618,39.546512436046825,True,111.65683498468535,6.587771579863618,456.0,True,Underserved
130470305022,218.0,3.2032529640538137,5,4453.930463695478,0.6162314546910707,38.23701865882237,True,10.444571888182853,0.6162314546910707,1280.0,True,Underserved
130470305023,110.0,1.707717906572935,3,4765.016523156068,0.11096979364446323,38.082572036436375,True,1.8808387308263246,0.11096979364446323,2163.0,True,Underserved
130470306002,37.0,1.2071219763618202,20,3152.69279435104,6.414596614263635,39.317817708481215,True,108.72167423676578,6.414596614263635,1041.0,True,Underserved
130470306003,324.0,1.5083672983655463,10,3804.883505519461,2.144738818102574,38.539995168329966,True,36.351404324660244,2.144738818102574,1479.0,True,Underserved
130470306004,184.0,1.7569532614188355,2,4145.671473941415,0.40606689472433766,40.28,True,6.8824706059279634,0.40606689472433766,1178.0,True,Underserved
130470306005,112.0,1.0455723390309501,5,2818.6401710619725,1.5201132573079137,38.971732251012064,True,25.764559847227748,1.5201132573079137,800.0,True,Underserved
130470307011,1183.0,1.9711153200079996,1,4637.822233752049,0.1721450196179183,40.28,True,2.917704084893492,0.1721450196179183,1303.0,True,Underserved
130470307012,130.0,18.910655678756964,0,9999.0,0.0,0.0,False,0.0,0.0,750.0,False,No Service
130470307013,1055.0,1.7725951212058018,0,9999.0,0.0,0.0,False,0.0,0.0,1435.0,False,No Service
130470307021,537.0,3.408719100676574,0,9999.0,0.0,0.0,False,0.0,0.0,1228.0,False,No Service
130470307022,82.0,0.33780123641562326,0,9999.0,0.0,0.0,False,0.0,0.0,713.0,False,No Service
130470307023,284.0,1.791988925460204,0,9999.0,0.0,0.0,False,0.0,0.0,1445.0,False,No Service
130470307024,743.0,1.6979994500829267,0,9999.0,0.0,0.0,False,0.0,0.0,1172.0,False,No Service
130830401041,205.0,42.42666857106779,0,9999.0,0.0,0.0,False,0.0,0.0,1109.0,False,No Service
130830401042,27.0,38.4854510578674,0,9999.0,0.0,0.0,False,0.0,0.0,982.0,False,No Service
130830403002,279.0,5.617933041414051,0,9999.0,0.0,0.0,False,0.0,0.0,1406.0,False,No Service
132950201011,143.0,1.3286567683971,2,2022.3862087939865,1.8155260143260477,40.33070573272357,True,30.771541808103144,1.8155260143260477,1060.0,True,Underserved
132950201012,27.0,2.059705035457799,1,3269.613919493372,0.822461712272686,40.28,True,13.939990264561395,0.822461712272686,1825.0,True,Underserved
132950201013,88.0,1.059808631704824,7,1983.879782831267,2.2421904209916335,39.45459318303444,True,38.003121815296446,2.2421904209916335,935.0,True,Underserved
132950201014,21.0,2.22927147535066,1,3636.563036291551,0.6480488443476172,40.28,True,10.983848179635267,0.6480488443476172,460.0,True,Underserved
132950201021,77.0,9.674322558850792,0,9999.0,0.0,0.0,False,0.0,0.0,642.0,False,No Service
132950201022,33.0,2.0142007933114745,0,9999.0,0.0,0.0,False,0.0,0.0,1078.0,False,No Service
132950201023,154.0,1.759938996759392,1,4676.624096809605,0.15370228762348148,40.28,True,2.605116276101821,0.15370228762348148,537.0,True,Underserved
132950202001,548.0,3.618731551170639,2,1762.542476731677,2.269889895211449,40.354080727358266,True,38.47260312390438,2.269889895211449,1615.0,True,Underserved
132950202002,391.0,1.8827605528215787,6,1659.0677726275746,3.0844766276347713,40.8238869226866,True,52.27911952482487,3.0844766276347713,1851.0,True,Underserved
132950203011,140.0,3.1259619197398565,11,1908.0766929324295,5.768148986384966,42.04788338263964,True,97.76496524386165,5.768148986384966,1517.0,True,Underserved
132950203012,53.0,0.9491258685437367,3,3081.9254981190315,1.8557923545009916,40.55870733790404,True,31.454020252573436,1.8557923545009916,966.0,True,Underserved
132950203013,387.0,9.557050943093545,2,4600.947217103421,0.2951720500114107,40.36220640101855,True,5.002902192443304,0.2951720500114107,1617.0,True,Underserved
132950203014,87.0,10.815476068363065,1,4603.378331999985,0.1895928236127958,40.51,True,3.213428754136122,0.1895928236127958,886.0,True,Underserved
132950203021,130.0,7.137147843424093,0,9999.0,0.0,0.0,False,0.0,0.0,790.0,False,No Service
132950203022,44.0,1.3287405958798935,0,9999.0,0.0,0.0,False,0.0,0.0,1026.0,False,No Service
132950203023,13.0,4.877485583117497,0,9999.0,0.0,0.0,False,0.0,0.0,830.0,False,No Service
132950203024,188.0,3.6857835414634446,0,9999.0,0.0,0.0,False,0.0,0.0,1184.0,False,No Service
132950203025,158.0,7.36149649896009,0,9999.0,0.0,0.0,False,0.0,0.0,1345.0,False,No Service
132950204001,83.0,1.510354770828017,16,3954.1157898332217,2.02805682634802,43.011681457172976,True,34.373748945890675,2.02805682634802,792.0,True,Underserved
132950204002,232.0,5.916407341654873,0,9999.0,0.0,0.0,False,0.0,0.0,1033.0,False,No Service
132950205031,1064.0,8.804850519533144,0,9999.0,0.0,0.0,False,0.0,0.0,2333.0,False,No Service
132950205032,17.0,3.3158408965056934,0,9999.0,0.0,0.0,False,0.0,0.0,429.0,False,No Service
132950205033,177.0,5.253493957294055,0,9999.0,0.0,0.0,False,0.0,0.0,1666.0,False,No Service
132950205041,66.0,4.8761887216858755,0,9999.0,0.0,0.0,False,0.0,0.0,1151.0,False,No Service
132950205042,226.0,7.354878618502378,0,9999.0,0.0,0.0,False,0.0,0.0,2534.0,False,No Service
132950205051,22.0,14.231561540083916,0,9999.0,0.0,0.0,False,0.0,0.0,516.0,False,No Service
132950205061,15.0,4.37903647285282,0,9999.0,0.0,0.0,False,0.0,0.0,530.0,False,No Service
132950205062,6.0,3.748174035755075,0,9999.0,0.0,0.0,False,0.0,0.0,681.0,False,No Service
132950205063,15.0,10.283652930708989,0,9999.0,0.0,0.0,False,0.0,0.0,877.0,False,No Service
132950205064,23.0,4.243441465985397,0,9999.0,0.0,0.0,False,0.0,0.0,1326.0,False,No Service
132950205065,90.0,11.043385615297039,0,9999.0,0.0,0.0,False,0.0,0.0,651.0,False,No Service
132950206011,82.0,24.95548352559815,0,9999.0,0.0,0.0,False,0.0,0.0,2395.0,False,No Service
132950206012,325.0,16.83019226261819,0,9999.0,0.0,0.0,False,0.0,0.0,1893.0,False,No Service
